12.09.2018;12.09.2018;12.09.2018;12.09.2018;12.10.2018;12.10.2018;12.10.2018;12.10.2018;12.11.2018;12.11.2018;12.11.2018;12.11.2018;12.12.2018;12.12.2018;12.12.2018;12.12.2018
<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
105180;105190;105180;105190;114690;114690;114640;114650;112320;112340;112240;112260;112710;112740;112690;112710
105140;105180;105110;105180;114650;114680;114640;114680;112260;112340;112250;112320;112700;112730;112690;112720
105140;105140;105140;105140;114680;114700;114660;114660;112330;112340;112290;112290;112710;112740;112710;112730
105200;105200;105200;105200;114660;114680;114650;114680;112280;112350;112280;112280;112720;112740;112670;112680
105280;105350;105280;105330;114680;114720;114660;114680;112280;112300;112250;112260;112690;112690;112640;112680
105350;105350;105330;105330;114680;114690;114650;114660;112280;112290;112260;112290;112680;112680;112630;112630
105290;105310;105290;105310;114660;114670;114630;114650;112280;112290;112240;112250;112640;112700;112630;112680
105340;105340;105340;105340;114650;114680;114610;114640;112250;112250;112210;112210;112690;112790;112650;112770
105330;105490;105330;105490;114650;114800;114620;114690;112210;112220;112150;112180;112770;112830;112700;112700
105500;105500;105470;105480;114700;114730;114660;114660;112170;112220;112120;112140;112710;112830;112700;112760
105510;105510;105450;105450;114660;114720;114650;114710;112150;112150;112050;112110;112760;112770;112680;112720
105450;105490;105450;105490;114690;114720;114680;114700;112110;112120;112050;112080;112720;112720;112640;112650
105490;105530;105490;105520;114680;114680;114580;114590;112080;112100;111990;112000;112650;112690;112640;112670
105550;105610;105550;105610;114600;114600;114540;114580;112010;112030;111950;111970;112680;112680;112600;112630
105620;105660;105620;105620;114580;114580;114480;114480;111960;111990;111940;111940;112620;112680;112580;112580
105650;105810;105650;105760;114480;114540;114470;114490;111930;111980;111880;111970;112600;112670;112590;112670
105810;105810;105730;105730;114500;114610;114500;114610;111970;111970;111910;111910;112670;112750;112620;112720
105710;105710;105670;105680;114600;114610;114570;114580;111910;111910;111860;111880;112720;112760;112700;112760
105680;105680;105680;105680;114580;114610;114580;114580;111890;111930;111830;111900;112750;112760;112670;112730
105670;105670;105660;105670;114570;114580;114530;114560;111920;111920;111870;111910;112730;112750;112720;112750
105680;105700;105650;105700;114570;114650;114560;114640;111900;111910;111870;111900;112740;112760;112710;112710
105700;105700;105690;105690;114640;114650;114630;114640;111890;111960;111880;111960;112710;112720;112650;112660
105720;105740;105680;105680;114650;114720;114650;114710;111960;111970;111900;111950;112660;112660;112630;112650
105660;105660;105610;105650;114700;114710;114640;114650;111940;111980;111910;111950;112650;112650;112560;112580
105660;105660;105610;105610;114650;114710;114640;114710;111960;111970;111930;111940;112590;112640;112550;112640
105620;105620;105580;105610;114700;114700;114670;114670;111940;111940;111890;111900;112640;112670;112630;112640
